Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3uDAf3WgxmYlu1CcuUAfdP,"Casa Sola","Casa Sola","Don Patricio",2025-03-14,176435,43,jlx91,2025-03-19T23:34:38Z,"","WM Spain",0.788,0.744,2,-6.487,0,0.063,0.0761,0.000912,0.0704,0.605,119.998,4
4pSZZyzj7HLZ9uiQnRAPWE,"Como Dolía","Como Dolía","NIA,st. Pedro",2025-02-14,208695,50,jlx91,2025-02-15T16:43:01Z,"flamenco urbano,flamenco pop,latin r&b","Must Producciones distributed by Altafonte",0.691,0.672,8,-8.112,1,0.0427,0.282,0,0.0947,0.955,92.017,4
58ldPuiCULxm08TCZ8qX4D,"HALO","BUENAS NOCHES","Quevedo,La Pantera",2024-11-22,181261,73,jlx91,2024-11-22T17:40:47Z,"reggaeton","2024 DQE Productions Distribuido por RIMAS Entertainment",0.829,0.786,11,-4.879,0,0.073,0.282,0.000347,0.1,0.618,100.037,4
1wSkSwkMg72Ybf0imCYnGo,"MACHUCA","MACHUCA","Suzete",2024-09-26,162967,30,jlx91,2024-09-30T01:25:57Z,"","Universal Music Spain S.L.",0.881,0.529,1,-5.62,0,0.12,0.327,0.0000137,0.274,0.611,95.033,4
0NTGA9P6SbfgTK38EgixWI,"Un Poco Más","Un Poco Más","Ant Cosmos,Laiv",2024-09-13,216007,4,jlx91,2024-09-15T20:12:11Z,"","Millo Solo",0.737,0.95,10,-5.958,1,0.0513,0.00799,0.811,0.107,0.676,120.02,4
0FKw07ifluxpHXMl23hi7s,"Vuelvo","Vuelvo","Don Patricio",2025-01-31,175080,45,jlx91,2025-02-04T13:50:50Z,"","WM Spain",0.765,0.601,3,-7.757,1,0.351,0.608,0.0000552,0.128,0.467,88.363,4
4RrQ5RCOOWNjhpWwNBTYAT,"LENNY","LENNY","ABHIR",2024-09-26,129103,37,jlx91,2024-09-30T01:21:37Z,"","DALE PLAY Records",0.703,0.665,5,-5.148,1,0.119,0.155,0.00000972,0.195,0.31,145.068,4
2YwfFuQTBgRGMjd6iVNvNY,"AHÍ ES","AHÍ ES","Juseph",2024-07-11,175200,26,jlx91,2024-07-12T07:22:14Z,"","Juseph",0.821,0.668,4,-4.769,1,0.0724,0.531,0.000136,0.0956,0.755,99.981,4
03Prh9vfi26vvkyKPHuFeS,"DISFRACES","DISFRACES","Maikel Delacalle,Lupion",2024-07-12,211428,28,jlx91,2024-07-12T07:18:33Z,"trap latino,latin r&b","MAIKEL DELACALLE",0.473,0.876,8,-3.097,1,0.391,0.309,0,0.0706,0.514,77.808,4
342mfJ8Y3mtQfR4O0ccSCA,"Volveré","Volveré","Zxmyr,Ptazeta",2024-07-11,188160,29,jlx91,2024-07-12T07:35:57Z,"mexican hip hop,latin hip hop","Alzada Corp",0.785,0.766,4,-5.707,0,0.121,0.464,0,0.458,0.465,124.959,4
