eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
de -> alguna (0.31), coronan (0.29), reyes (0.28), selvas (0.28), eol (0.28), vinieron (0.28), besos (0.27), entrañas (0.27), escarpada (0.27), asfalto (0.27)
la -> eol (0.37), cadera (0.36), paz (0.35), recogí­a (0.32), cocodrilo (0.32), rítmo (0.32), puñal (0.32), rísa (0.32), tiburón (0.32), ballena (0.32)
que -> eol (0.40), ponen (0.29), no (0.28), imaginas (0.28), vale (0.28), razón (0.28), enamorada (0.27), tienen (0.27), cambullonero (0.27), besado (0.27)
y -> coser (0.28), chácaras (0.27), eol (0.26), fusilan (0.26), acaben (0.26), bordar (0.26), sentencian (0.26), dicen (0.25), pajarito (0.25), sangraron (0.25)
el -> abismo (0.32), eol (0.32), repásatе (0.31), еn (0.30), salе (0.30), brilla (0.29), alimentadas (0.29), corría (0.29), vértigo (0.29), respira (0.29)
en -> еn (0.34), reza (0.29), florida (0.29), viaje (0.29), siete (0.29), crece (0.29), sombra (0.28), sahara (0.28), tindouf (0.28), ensombreciera (0.28)
a -> ver (0.37), malita (0.34), tuineje (0.33), sube (0.33), asofa (0.33), sirena (0.32), barnizar (0.32), ave (0.32), pintar (0.32), creo (0.32)
no -> muera (0.38), recuеrdo (0.35), moya (0.35), hay (0.35), supe (0.35), empolla (0.34), pollo (0.34), vale (0.34), besado (0.34), pelear (0.34)
un -> poco (0.46), nacidas (0.40), vigila (0.38), despedida (0.36), mímate (0.35), cómete (0.35), continuar (0.35), coco (0.35), tesoro (0.35), primavera (0.34)
se -> equivocaba (0.41), cogió (0.37), apaguen (0.35), cuarto (0.35), desata (0.35), espantaron (0.35), apagó (0.34), anoche (0.34), nevada (0.34), rocío (0.34)
mi -> amada (0.39), roca (0.38), telar (0.38), quiebra (0.37), rubio (0.37), querida (0.37), dueño (0.37), rorró (0.37), arorró (0.37), echada (0.36)
me -> iré (0.40), matan (0.40), tocas (0.38), pretendo (0.37), mirarte (0.37), vendido (0.37), gusta (0.36), diste (0.36), aquí (0.36), caminas (0.36)
te -> tе (0.43), vas (0.43), esfuerzo (0.43), hayas (0.41), buscaba (0.41), seguro (0.40), vivido (0.40), deslizas (0.39), rogares (0.39), matar (0.38)
los -> hombres (0.47), pueblos (0.45), valientes (0.38), soñé (0.36), guarde (0.36), caminos (0.36), vientos (0.36), borrar (0.36), viven (0.35), montes (0.35)
con -> cama (0.35), arrollo (0.32), mago (0.31), unido (0.30), cayeron (0.30), habaneras (0.30), máquinas (0.30), sentimiento (0.30), maga (0.29), palomas (0.29)
tu -> olor (0.48), nombre (0.46), cuerpo (0.40), cantaré (0.39), grita (0.39), dijiste (0.39), secundemos (0.38), escrito (0.38), querías (0.38), dondequiera (0.38)
las -> naves (0.44), vuelan (0.40), selvas (0.40), coronan (0.39), acaben (0.39), todas (0.39), lamentos (0.38), abran (0.37), están (0.37), guardó (0.36)
del -> memoría (0.39), evoca (0.38), puente (0.38), abismo (0.38), rí­o (0.38), azar (0.37), ensueño (0.37), ritmos (0.36), alameda (0.36), igualdad (0.36)
al -> refugio (0.47), repican (0.46), muelle (0.46), volar (0.46), sevan (0.45), mirto (0.44), echó (0.44), yerbabuena (0.44), tragó (0.43), diente (0.43)
por -> tumbas (0.35), ultimátums (0.35), casualidad (0.34), subiendo (0.34), lleva (0.34), acequias… (0.34), repásatе (0.33), allí (0.33), cango (0.33), chasconas (0.33)
es -> coje (0.43), boba (0.43), orgullo (0.43), convierte (0.43), fín (0.42), renovemos (0.42), alegrense (0.41), demás (0.41), velero (0.41), duras (0.41)
yo -> nací (0.50), vengo (0.47), ofrecer (0.46), pancho (0.46), cangreja (0.46), quise (0.45), nieta (0.45), pahindo (0.44), nado (0.44), quedo (0.44)
una -> plaga (0.42), blanca (0.42), pared (0.40), portal (0.40), cuelga (0.40), infinita (0.39), metros (0.39), gandula (0.38), escudilla (0.38), galdós (0.37)
su -> lección (0.50), lover (0.50), latin (0.48), desliz (0.48), chéri (0.47), comme (0.47), español (0.46), ci (0.45), fué (0.42), huella (0.42)
mar -> repican (0.58), sevan (0.56), promesa (0.52), tírate (0.51), blanda (0.51), lame (0.50), tirate (0.50), adivina (0.50), echó (0.49), ocho (0.49)
si -> pregunta (0.48), acaso (0.48), medianera (0.47), importan (0.47), salto (0.46), marchando (0.46), provocan (0.45), agarfa (0.45), chaval (0.45), entra (0.44)
lo -> demás (0.43), fín (0.42), bendiga (0.42), importa (0.42), arrimense (0.42), levanntense (0.42), andabas (0.42), alegrense (0.41), acerquense (0.41), quieras (0.41)
para -> empezar (0.46), cumbres (0.44), chacha (0.43), subí (0.42), muchacha (0.42), gozar (0.41), cuidar (0.41), vuelva (0.40), símbolo (0.40), libres (0.39)
tierra -> echada (0.55), erguida (0.55), parda (0.53), mía (0.48), brota (0.46), escrito (0.46), cuidar (0.44), parió (0.44), calla (0.44), verde (0.43)
ay -> pautas (0.72), marcanto (0.67), l (0.65), creada (0.65), musa (0.65), norteño (0.63), metiste (0.63), pueblecito (0.63), bella (0.63), luceros (0.62)
como -> torrente (0.50), grieta (0.48), pajarito (0.47), fusilan (0.46), enorme (0.46), borracho (0.45), woody (0.45), activo (0.45), allen (0.45), cuido (0.45)
cuando -> plantal (0.48), floreciendo (0.48), riega (0.47), sulema (0.46), amasa (0.46), ajeno (0.45), camina (0.45), sahara (0.43), sandalias (0.43), surge (0.42)
amor -> voluntad (0.48), mío (0.48), ajeno (0.43), cría (0.41), irte (0.40), planta (0.40), amará (0.39), tropiezo (0.39), adoras (0.39), dueño (0.39)
más -> hondo (0.57), despensa (0.57), luciera (0.56), transido (0.56), aspiro (0.55), rinde (0.55), revuelvo (0.55), caballеro (0.55), apura (0.53), negándose (0.53)
donde -> alumbran (0.65), incrustándosе (0.63), duermе (0.63), suenan (0.63), asienta (0.61), súbita (0.59), tamují (0.59), región (0.59), moraba (0.59), respira (0.57)
tus -> gatos (0.66), comidas (0.64), atardeceres (0.63), mana (0.62), enredó (0.62), aaaahm (0.61), rojos (0.61), vuelen (0.60), zapatos (0.60), caricia (0.60)
qué -> saco (0.73), sostenas (0.73), temerario (0.71), bebiera (0.69), batallas (0.66), emprender (0.66), coja (0.65), acompañó (0.65), lleves (0.65), economía (0.65)
tú -> sales (0.67), vocita (0.66), contestando (0.65), llamo (0.65), recorre (0.65), supieras (0.65), dеsesperando (0.64), habría (0.64), teléfono (0.64), faltas (0.64)
sin -> tirma (0.49), pensar (0.47), casanova (0.47), tumbo (0.46), fogal (0.46), dolido (0.46), teniques (0.46), silba (0.45), verga (0.45), angustiado (0.45)
eres -> odio (0.79), rito (0.77), serás (0.76), ciprés (0.76), alpispa (0.74), territorio (0.73), … (0.73), hermanarse (0.73), floreces (0.73), revoloteando (0.73)
entre -> volaba (0.63), grietas (0.63), brumas (0.62), perfiles (0.60), dejándome (0.60), airados (0.59), levantan (0.59), ruinas (0.59), separó (0.58), arroyos (0.58)
hay -> mеsa (0.63), podamos (0.62), sudor (0.61), moya (0.61), dеsenmascar (0.61), pollo (0.60), aguantar (0.60), empolla (0.59), enfría (0.58), contarte (0.57)
ya -> motivos (0.59), creencias (0.58), conforman (0.57), algunas (0.57), definen (0.56), descubrió (0.55), plantar (0.54), plan (0.54), aguanta (0.54), pariendo (0.53)
sol -> llueve (0.46), cumbrе (0.46), niеve (0.46), seguirte (0.46), despierte (0.45), corramos (0.45), amando (0.45), altar (0.44), estrеllas (0.44), brilla (0.43)
sus -> desguace (0.63), temporal (0.62), incluyéndome (0.60), bridas (0.60), largas (0.60), blancos (0.59), traiga (0.59), saltos (0.59), dejad (0.59), medir (0.59)
todo -> ozono (0.67), conquistar (0.63), separa (0.63), aquello (0.62), malandanza (0.61), trapos (0.60), compres (0.58), normal (0.58), arruina (0.58), brega (0.58)
porque -> reir (0.64), oyeron (0.63), escucharlas (0.62), traicionado (0.62), esperas (0.62), adivinado (0.61), patita (0.61), parís (0.61), agonía (0.59), crecieron (0.59)
le -> daño (0.63), tire (0.61), escribía (0.61), ocurrió (0.60), juro (0.60), poncho (0.59), aliviarla (0.59), humilde (0.59), falte (0.58), ramito (0.58)
quiero -> dejarte (0.65), limite (0.65), perderte (0.65), adoro (0.64), cobrar (0.63), vendaval (0.62), dividida (0.62), prеcio (0.62), anchas (0.61), desangrada (0.61)
corazón -> inalterable (0.62), alcancen (0.62), documento (0.61), satélites (0.61), sonámbulas (0.60), ofrecer (0.60), países (0.59), vengo (0.59), uniré (0.58), perdidas (0.58)
está -> lavando (0.67), ropita (0.66), pañales (0.66), sequita (0.64), dó (0.62), tallo (0.62), ocurrencia (0.61), colectivo (0.60), intentando (0.60), impaciente (0.60)
ti -> suspiro (0.68), fugaz (0.68), viví (0.67), vivirte (0.66), subí (0.65), gerias (0.64), llenándome (0.64), escape (0.63), confía (0.63), caminarte (0.62)
eh -> crié (0.87), atocha (0.86), 53 (0.85), morenitaa (0.84), usted (0.82), dóndе (0.80), oooh (0.80), carnada (0.79), conciencia (0.78), vine (0.76)
ser -> gaviota (0.74), ciudadanos (0.73), emigrantes (0.73), metido (0.71), basta (0.69), pecera (0.68), lea (0.68), repartirme (0.68), enseño (0.67), crea (0.67)
canto -> naturaleza (0.70), sincero (0.68), callar (0.68), plumaje (0.67), emerge (0.67), libertario (0.66), fortaleza (0.66), chorizo (0.65), tricias (0.65), compañero (0.64)
agua -> fresca (0.66), chapines (0.65), desandar (0.64), olvidaron (0.62), desierto (0.61), caravana (0.60), corría (0.59), silenciosa (0.58), serena (0.58), repásatе (0.58)
mis -> antepasados (0.62), ríes (0.61), alrededor (0.60), vientre (0.60), llamadas (0.60), vienes (0.59), silbar (0.59), piernas (0.59), retroceder (0.58), entierren (0.57)
alma -> acumulan (0.54), cuchillada (0.54), cuero (0.52), ágil (0.52), brotando (0.52), tejen (0.52), mete (0.52), desventuras (0.51), requiebra (0.51), golpea (0.51)
pero -> chaval (0.56), maduran (0.56), provocan (0.56), volvamos (0.55), déjale (0.55), injusto (0.55), corrupción (0.55), pisa (0.54), calidad (0.54), pelea (0.54)
siempre -> pregunto (0.56), marchan (0.56), reposando (0.55), perdurando (0.55), espérame (0.55), matan (0.55), abismos (0.54), escondió (0.54), pobres (0.54), quеría (0.54)
canaria -> gran (0.82), canaria… (0.78), conducen (0.78), cumbrе (0.77), sombreados (0.76), quedar (0.75), golosa (0.75), niеve (0.74), rica (0.73), entrañas (0.72)
vida -> niiiiii (0.59), ponles (0.58), gocen (0.57), adoro (0.55), alegrense (0.55), atención (0.55), pasion (0.55), llenemos (0.55), fín (0.54), levantense (0.54)
desde -> fataga (0.67), caí (0.65), tagaana (0.65), batir (0.63), meda (0.61), abona (0.60), sauzal (0.59), cuna (0.58), garachico (0.58), fosas (0.57)
ni -> labro (0.73), siego (0.73), trillo (0.72), cazo (0.72), cambo (0.69), caño (0.69), avento (0.69), hiel (0.67), vinagre (0.67), cortada (0.67)
quién -> sufre (0.76), escribía (0.75), escuchar (0.75), violentó (0.74), podrá (0.70), vapor (0.69), primavеra (0.69), gritará (0.69), amará (0.69), potentado (0.68)
son -> sirinoque (0.61), tiple (0.58), bueyes (0.58), miraré (0.58), taburiente (0.58), otros (0.57), tajarastes (0.57), buеyes (0.57), crezcan (0.57), fósiles (0.57)
esta -> basurero (0.67), seco (0.66), brillo (0.66), pariendo (0.65), pesada (0.65), ventas (0.64), retorno (0.64), segar (0.64), pesadilla (0.63), verter (0.63)
todos -> lloré (0.65), unidos (0.62), barcos (0.62), concepto (0.60), llevará (0.60), amantes (0.60), ancestros (0.59), suspiran (0.59), aman (0.59), guiados (0.59)
va -> desiеrtos (0.68), envolviendo (0.65), ravelo (0.64), garajonay (0.64), heredando (0.63), jinca (0.63), plantal (0.62), florеciendo (0.61), riega (0.61), asomar (0.61)
luna -> enamora (0.64), sahara (0.63), alumbraba (0.63), riega (0.61), sueña (0.61), ahogue (0.61), arguineguín (0.61), plantal (0.61), dulcemente (0.60), abrumó (0.60)
nos -> ambos (0.57), dábamos (0.56), compartíamos (0.56), tuercen (0.56), callada (0.54), presentir (0.53), pedazos (0.53), muestras (0.53), pertenece (0.53), quisimos (0.53)
allá -> perseguido (0.65), cobijar (0.65), barrancas (0.65), payador (0.65), renazco (0.63), saludo (0.63), brisas (0.63), mayores (0.62), tarzán (0.62), patrio (0.62)
fue -> regarlos (0.62), paquebot (0.59), despacito (0.59), camellos (0.59), contenta (0.59), situación (0.59), yendo (0.58), quejaba (0.58), pago (0.58), inmortal (0.58)
gran -> canaria (0.82), canaria… (0.76), cumbrе (0.74), creció (0.72), emigró (0.72), conducen (0.71), brazo (0.71), niеve (0.70), quedar (0.70), telarañas (0.70)
hasta -> seguía (0.60), discusión (0.59), brilla (0.59), acá (0.59), 6 (0.57), veneguera (0.57), matérico (0.56), prepararme (0.56), mudas (0.55), mesas (0.55)
oh -> plumazo (0.84), llamando (0.84), zancadillas (0.84), seguí (0.84), piedad (0.81), ombligo (0.81), mordiendo (0.81), mercromina (0.81), trampa (0.80), uhhhhh (0.80)
cada -> estación (0.69), minuto (0.69), derramar (0.64), quebrada (0.63), poro (0.62), esquina (0.61), aventura (0.61), aspiro (0.60), instala (0.60), brisas (0.59)
ver -> mover (0.61), renuncio (0.61), colita (0.60), soñadora (0.60), creo (0.60), quеría (0.60), ave (0.60), rompo (0.59), chipude (0.59), forjamos (0.59)
sombra -> feroz (0.75), nacido (0.74), grandeza (0.73), perfecta (0.72), tindouf (0.72), haima (0.72), volcará (0.72), altar (0.71), riscales (0.70), lunar (0.70)
hoy -> pasé (0.67), encendió (0.65), pleno (0.64), yesterday (0.63), descargue (0.63), cuba (0.62), enseño (0.62), vivos (0.62), pecera (0.61), alegrarme (0.61)
cielo -> trocito (0.61), quеría (0.61), quería (0.60), soñadora (0.59), inglesa (0.58), vaca (0.57), enamoro (0.57), arenas (0.57), pidiendo (0.57), captar (0.56)
voz -> cantada (0.67), argentina (0.65), persigue (0.64), dibujado (0.63), innombrable (0.63), cruzando (0.63), antigüa (0.62), murmura (0.61), recostarte (0.60), inspiración (0.60)
así -> triunfarán (0.66), soga (0.65), cuello (0.64), retrasar (0.62), superación (0.62), teresa (0.61), camellos (0.60), empieza (0.60), negar (0.60), juntan (0.59)
aquí -> cocinando (0.62), carga (0.61), vine (0.60), esconder (0.60), fundando (0.60), cómete (0.58), éste (0.58), coco (0.57), quisieran (0.57), caramba (0.57)
tan -> canchera (0.70), luxe (0.69), gañán (0.68), tonta (0.66), encoñe (0.66), benjamín (0.64), simple (0.63), veloz (0.62), perfecto (0.62), oscura (0.62)
día -> cáin (0.58), abel (0.58), retiraron (0.53), dеsenmascar (0.53), apartarte (0.52), tuvieron (0.52), vivía (0.52), regreses (0.52), mesas (0.51), fuiste (0.50)
he -> amado (0.73), haciendo (0.71), sabido (0.71), vestir (0.68), vendrán (0.67), renunciar (0.67), tristezas (0.67), arrima (0.67), visto (0.66), podido (0.66)
pueblo -> reconstruiremos (0.65), forjaron (0.62), suelta (0.61), público (0.59), revivir (0.57), achica (0.57), vigoroso (0.57), grabarte (0.56), respira (0.56), sepa (0.56)
noche -> conejera (0.67), maldad (0.64), arguineguín (0.62), muermos (0.61), súbita (0.61), tranquilas (0.60), zamba (0.60), agranda (0.59), maldita (0.59), ejerce (0.59)
mía -> trapo (0.66), to’itos (0.64), dado (0.63), aumentan (0.63), funden (0.63), confía (0.63), florida (0.63), días (0.63), quiebra (0.62), cabemos (0.62)
islas -> desafortunadas (0.69), amotinen (0.67), heridas (0.66), amordazadas (0.65), agazapados (0.64), archivo (0.63), cauce (0.63), disfraz (0.63), desafío (0.63), compran (0.63)
sueño -> soñaste (0.71), mago (0.70), tienemorenatu (0.69), maga (0.67), olvidaste (0.66), filme (0.65), vigilia (0.64), imperial (0.63), despiertas (0.63), durará (0.62)
